movie,sentence,score
올빼미,스토리가 아주 탄탄하네요.,10
올빼미,재미가 없었습니다 끝도 좀 흐지부지하고,2
올빼미,시나리오가 정말 좋아요배우들 연기도 최고네요영화 시작부터 끝까지 정말 재밌게 봤습니다 ,10
올빼미,ㅜㅜ 역띠 평점은 다 믿을게 못되네요 중간부분만 좀 흥미진진할뿐 좀 루즈하네요 좀더 재미있게 만들었음좋았을텐데 먼가 허전함,6
올빼미,너무 재미있습니다. 꼭 주말에 보세요,10
올빼미,정말 재밌게 봤어요.강추,10
데시벨,데시벨 김래원 이종석,5
올빼미,개연성이 부족한 좀 어거지 내용이 있어 그렇지 연기들이 뛰어나잘 봤습니다,8
올빼미,올빼미 류준열 유해진,10
블랙 팬서: 와칸다 포에버,굿바이 채드윅 보스만,8
올빼미,연기 개 잘함 영화 답네 볼 만 해요,10
올빼미,지루한 내용 없이 몰입갑을 주는 영화입니다 . 특히 김성철 배우님의 연기가 인상 깊었는데요 . 짧게 나오지만 임팩트 있는 연기를 하셔서 기억에 남습니다 . 내용도 반전이 더해져 보는 내내 흥미진진하게 볼 수 있었습니다,10
올빼미,지루한 내용 없이 몰입갑을 주는 영화입니다 . 특히 김성철 배우님의 연기가 인상 깊었는데요 . 짧게 나오지만 임팩트 있는 연기를 하셔서 기억에 남습니다 . 내용도 반전이 더해져 보는 내내 흥미진진하게 볼 수 있었습니다,10
올빼미,지루한 내용 없이 몰입갑을 주는 영화입니다 . 특히 김성철 배우님의 연기가 인상 깊었는데요 . 짧게 나오지만 임팩트 있는 연기를 하셔서 기억에 남습니다 . 내용도 반전이 더해져 보는 내내 흥미진진하게 볼 수 있었습니다,10
올빼미,처음 10분정도는 살짝 지루하지만 점점 시간이 갈수록 흥미로워지며 재미있게 잘 보았습니다 감사합니다 ,10
스트레인지 월드,재미있게 봤습니다.,7
올빼미,올해 본 영화중 최악이네요.억지스런 구성과 연출...,2
올빼미,재미있게 잘 보고 나왔어요.,10
올빼미,재밌습니다 배우들의 연기가 좋았습니다,8
동감,잔잔하게 대학시절의 분위기를 느낄수 있어 좋았습니다. 평점보고 망설였지만 제가 좋아하는 류의 영화라서 좋았습니다. ,9
올빼미,22년  최고의  작품입니다 !!!,10
올빼미,시나리오 상상력이 어마어마하네... 이런거저런거 다치우고 재미있음.!,9
블랙 팬서: 와칸다 포에버,개똥망 특정인물 화면에 잡힐때마다 몰입이 깨짐이쁜흑인들도 많은데 이건 분명 특정 인종에 대한 지능적인 안티행동임이 분명함,1
블랙 팬서: 와칸다 포에버,쓰레기 핵폐기물 그 이상 이하도 아님,1
올빼미,역사적사실을 기반으로 상상력이 돋보이네요 ㅎ이걸 사실로 아는 사람은 없겠죠??,9
올빼미,유해진 배우님이 류준열 배우의 연기의 기둥이 두꺼워 졌다고 했는데 정확했다. 혹여 보실 사람들은 남한산성을 먼저 보고 올빼미를 보는걸 추천합니다. ,10
올빼미,역시 갓준열!갓해진!한순간도 긴장을 놓을수가없었네요간만에  좋은영화감사합니다,10
올빼미,흥미진진하게 보기는 했지만 클리셰와 허술한 부분이 꽤 있다세자 죽는 장면이 소름 돋았습니다!,7
블랙 팬서: 와칸다 포에버,너무 재밌습니다.,10
유포자들,마냥 영화 속 이야기라기엔 나도 겪고 당신도 겪을수 있는 이야기 그래서 더 몰입하며 볼 수있었다 추리를 너무 해서 모든이를 다 의심한 듯 ㅎ핸드폰으로 감상평을 쓰고 있는 지금도 무섭다 이 핸드폰 하나에 내 인생이 걸려있을 것만 같달까내가 조심하는 것도 중요하지만 잘못이 잘못이라는 걸 알고 하지 않는 “인간적인” 세상이 되었으면. ,8
올빼미,세상이 나를 두고 몰카를 찍는건가...? 진짜 재밌다고요 이게? 보는 내내 내가 지금 영화를 보는건가 드라마를 보는건가 싶을 정도로 전개도 지루하고 그 다음 무슨 내용이 나올지 너무 뻔히 예측돼서 재미가 없었습니다. 배우가 아까웠어요. 기대도 안하고 그냥 봤는데 기대 했으면 진짜 1점 줬을 듯... 클리셰를 사용할 거면 살리기라도 하던가 이건 무슨 알멩이 없는 껍데기 뿐이니.. 이게 박스오피스 1위라니 말도 안됩니다 진짜. 평점 다 알바죠??,4
올빼미,연출과 연기가 좋았습니다. 다만 후반부에 예상했던 결말로 향해가는 부분이 조금 지루했고... 설마했던 그 결말로 마무리되어 아쉬웠습니다. 용두사미가 맞는것같아요.,8
올빼미,몰입감 대박이었어요!! 두분 연기 진짜 최고구요 음향상받을 것 같아요!!  ,8
올빼미,용두사미의 전개,4
올빼미,개인적으로 스릴러를 좋아하지않는데 재밋게 본 작품입니다 연출이 저에겐 살짝 무서웠어요 ㅎㅎ,8
동감,OST나 영상미  배우들의 패션은 그 시절이 생각나게 청량하고 풋풋합니다. 초반 썸탈때는 오글거리기는 하지만.. 20대 초반 풋풋함이 느껴져 흐뭇하게 봤어요. 중간 중간 웃음도 나고요 ㅎ??ㅎ?? 다만  여기까지가 끝인가보오 OST 이후는 몰입이 어려웠네요.. 김용의 행동도 이해가 안갑니다.. 철학적이지도 않는 뜬구름 잡는 대사들.. 다소 오그라드는 대사를 김용은 연기력으로 들어줄만 했다면.. 무늬는 너무 연기같아 정말 오그라들었습니다,6
올빼미,올빼미 정말정말 재밌어요,1
